汉明距离,fp余弦值,降维余弦值,集合相似度,ENSD相似度,特征数量
17,.464,.046,.037,.096,230,74
14,.573,.213,.099,.000,230,132
13,.596,-.042,.106,.073,230,93
14,.592,-.036,.114,.072,230,92
16,.556,.215,.023,.074,230,38
16,.484,.036,.104,.534,230,1072
11,.593,.540,.116,.173,148,237
14,.463,.488,.166,.182,148,258
13,.519,.536,.160,.589,148,551
7,.759,.457,.071,.167,148,86
6,.772,.664,.123,.286,148,163
12,.540,.547,.074,.200,148,74
13,.519,.203,.074,.000,148,132
6,.772,.447,.064,.163,148,93
7,.759,.458,.079,.161,148,92
9,.713,.367,.070,.229,148,38
11,.564,.714,.112,.268,148,1072
15,.400,.463,.118,.133,237,258
14,.462,.185,.119,.232,237,551
10,.645,.383,.076,.356,237,86
7,.721,.587,.118,.427,237,163
9,.641,.500,.061,.275,237,74
10,.615,.392,.143,.100,237,132
11,.560,.384,.081,.354,237,93
10,.645,.414,.080,.353,237,92
8,.740,.587,.067,.265,237,38
8,.669,.661,.225,.444,237,1072
11,.560,.630,.204,.151,258,551
9,.671,.377,.089,.101,258,86
12,.500,.570,.150,.174,258,163
12,.500,.536,.047,.121,258,74
11,.560,.345,.093,.000,258,132
8,.667,.416,.101,.103,258,93
11,.596,.284,.089,.102,258,92
15,.490,.180,.043,.108,258,38
11,.522,.559,.124,.221,258,1072
14,.501,.221,.089,.202,551,86
13,.480,.338,.147,.270,551,163
11,.560,.446,.041,.221,551,74
14,.462,.096,.084,.206,551,132
11,.560,.192,.084,.203,551,93
16,.430,.187,.094,.254,551,92
14,.538,.105,.042,.280,551,38
12,.502,.490,.171,.371,551,1072
7,.745,.677,.512,.787,86,163
11,.596,.295,.119,.267,86,74
12,.573,.328,.112,.100,86,132
5,.820,.888,.896,.992,86,93
2,.933,.974,.971,1.000,86,92
10,.689,.161,.190,.606,86,38
12,.545,.445,.070,.274,86,1072
12,.500,.610,.128,.521,163,74
7,.721,.532,.132,.100,163,132
4,.833,.745,.555,1.000,163,93
7,.745,.662,.518,.727,163,92
9,.700,.403,.196,.837,163,38
9,.609,.645,.096,.316,163,1072
9,.641,.399,.035,.100,74,132
14,.417,.212,.116,.260,74,93
13,.522,.298,.127,.257,74,92
9,.700,.449,.143,.512,74,38
11,.522,.498,.056,.285,74,1072
11,.560,.307,.124,.100,132,93
14,.501,.293,.111,.100,132,92
12,.605,-.002,.028,.100,132,38
10,.585,.377,.122,.078,132,1072
5,.820,.847,.885,.902,93,92
11,.630,.196,.185,.400,93,38
9,.609,.465,.072,.269,93,1072
12,.626,.244,.227,.490,92,38
12,.545,.434,.073,.268,92,1072
12,.585,.285,.045,.284,38,1072
13,.609,.384,.084,.178,163,60
12,.648,.518,.095,.226,163,77
12,.630,.418,.104,.202,163,121
13,.629,.378,.112,.362,163,400
18,.408,.189,.075,.247,163,92
6,.833,.575,.198,.351,163,125
11,.669,.368,.062,.160,163,139
13,.609,.562,.105,.267,163,261
13,.609,.293,.097,.195,163,100
11,.669,.229,.139,.347,163,287
13,.588,.257,.123,.151,163,201
7,.823,.574,.094,.237,163,88
15,.516,.287,.058,.161,60,77
13,.552,.266,.073,.159,60,121
16,.501,.261,.140,.507,60,400
11,.596,.295,.122,.217,60,92
11,.669,.447,.132,.435,60,125
16,.467,.207,.074,.188,60,139
10,.667,.507,.136,.373,60,261
16,.467,.292,.043,.137,60,100
14,.533,.304,.108,.394,60,287
16,.430,.100,.076,.200,60,201
16,.563,.107,.074,.200,60,88
12,.601,.498,.324,.796,77,121
11,.667,.207,.048,.300,77,400
14,.505,.259,.153,.500,77,92
12,.648,.362,.110,.371,77,125
9,.710,.436,.083,.138,77,139
19,.387,.217,.082,.479,77,261
9,.710,.461,.091,.300,77,100
13,.581,.168,.059,.291,77,287
13,.555,.222,.147,.675,77,201
11,.709,.415,.274,.747,77,88
7,.778,.646,.086,.259,121,400
10,.617,.433,.115,.339,121,92
10,.693,.353,.082,.269,121,125
11,.621,.429,.081,.144,121,139
15,.483,.222,.079,.262,121,261
11,.621,.311,.110,.181,121,100
9,.690,.479,.075,.241,121,287
11,.593,.142,.135,.319,121,201
9,.758,.739,.590,.615,121,88
11,.630,.470,.062,.305,400,92
11,.686,.396,.137,.495,400,125
14,.564,.522,.119,.339,400,139
12,.626,.491,.158,.454,400,261
12,.626,.101,.062,.260,400,100
6,.814,.707,.196,.591,400,287
10,.673,.327,.182,.427,400,201
10,.741,.526,.079,.298,400,88
14,.544,.433,.122,.360,92,125
13,.522,.227,.086,.178,92,139
11,.596,.450,.110,.333,92,261
13,.522,.309,.102,.236,92,100
11,.596,.424,.087,.300,92,287
17,.320,.039,.089,.265,92,201
13,.630,.152,.099,.406,92,88
11,.669,.356,.101,.315,125,139
9,.730,.516,.116,.508,125,261
11,.669,.460,.086,.273,125,100
9,.730,.450,.171,.514,125,287
15,.523,.141,.174,.316,125,201
11,.720,.331,.089,.347,125,88
14,.533,.432,.101,.291,139,261
8,.733,.375,.062,.128,139,100
10,.667,.373,.119,.312,139,287
16,.430,.104,.066,.176,139,201
14,.620,.271,.065,.167,139,88
14,.533,.398,.104,.265,261,100
8,.733,.414,.177,.558,261,287
14,.501,.213,.137,.402,261,201
14,.620,.240,.053,.323,261,88
10,.667,.234,.077,.240,100,287
12,.573,.111,.117,.119,100,201
14,.620,.190,.112,.222,100,88
8,.716,.364,.150,.313,287,201
12,.676,.432,.064,.290,287,88
14,.605,.249,.152,.254,201,88
3,.910,.915,.862,1.000,179,167
11,.624,.503,.125,.273,179,272
12,.601,.373,.124,.371,179,229
10,.707,.437,.109,.360,179,327
18,.503,.308,.163,.357,179,128
9,.678,.535,.135,.529,179,490
3,.910,.915,.862,1.000,179,167
4,.884,.889,.846,1.000,179,161
2,.943,.908,.812,1.000,179,184
3,.910,.899,.821,.826,179,184
3,.910,.915,.862,1.000,179,167
12,.605,.504,.112,.224,167,272
13,.583,.374,.122,.361,167,229
9,.743,.422,.131,.354,167,327
17,.542,.440,.161,.345,167,128
12,.585,.481,.131,.490,167,490
0,1.000,1.000,1.000,1.000,167,167
3,.915,.986,.985,1.000,167,161
1,.972,.953,.925,1.000,167,184
2,.941,.960,.933,.983,167,184
0,1.000,1.000,1.000,1.000,167,167
11,.593,.654,.114,.000,272,229
15,.523,.177,.221,.166,272,327
21,.372,.210,.062,.000,272,128
10,.585,.670,.193,.486,272,490
12,.605,.504,.112,.224,272,167
15,.523,.477,.111,.219,272,161
13,.588,.474,.109,.221,272,184
12,.605,.462,.120,.190,272,184
12,.605,.504,.112,.224,272,167
14,.567,.327,.116,.307,229,327
